Home_team,Away_team,Home_form,Away_form,Home_avg_scored,Away_avg_scored,Home_avg_conceded,Away_avg_conceded,Result
Nott'm Forest,Everton,6,7,1.0,0.8,1.2,0.6,A
West Ham,Brighton,2,2,0.8,1.0,1.8,1.8,D
Arsenal,Aston Villa,12,15,1.6,2.6,0.8,1.6,H
Brentford,Tottenham,7,7,1.4,1.2,1.2,1.4,D
Sunderland,Man City,6,15,0.6,3.2,1.0,1.0,D
Crystal Palace,Fulham,6,9,0.8,2.0,1.8,1.8,D
Liverpool,Leeds,11,9,2.0,2.4,1.2,1.4,D
Aston Villa,Nott'm Forest,12,3,2.0,0.8,1.8,1.6,H
Brighton,Burnley,3,2,0.8,1.0,1.4,1.8,H
Wolves,West Ham,1,2,0.8,1.0,2.2,2.0,H
Bournemouth,Arsenal,4,12,1.6,2.0,2.2,1.0,A
Leeds,Man United,7,8,1.8,2.2,1.2,1.6,D
Everton,Brentford,7,8,1.0,1.4,0.6,0.8,A
Newcastle,Crystal Palace,7,4,1.4,0.8,1.2,2.0,H
Tottenham,Sunderland,7,6,0.8,0.4,1.0,0.8,D
Fulham,Liverpool,10,11,1.4,1.8,1.0,1.0,D
Man City,Chelsea,13,6,2.2,1.4,0.2,1.2,D
West Ham,Nott'm Forest,1,3,0.8,1.0,2.4,1.6,A
Newcastle,Leeds,7,7,1.4,1.4,1.0,0.8,H
Burnley,Man United,2,6,0.8,1.6,1.8,1.6,D
Man City,Brighton,11,5,1.8,1.0,0.4,1.2,D
Fulham,Chelsea,11,6,1.6,1.6,1.0,1.4,H
Bournemouth,Tottenham,3,5,2.0,0.6,2.8,1.2,H
Crystal Palace,Aston Villa,1,12,0.4,2.2,2.2,1.8,D
Brentford,Sunderland,11,7,2.2,0.6,0.8,0.4,H
Everton,Wolves,4,4,0.8,1.2,1.4,1.4,D
Arsenal,Liverpool,15,11,2.4,1.6,1.0,0.8,D
Tottenham,West Ham,5,1,1.0,0.6,1.2,2.2,A
Nott'm Forest,Arsenal,3,13,0.8,2.0,1.8,0.8,D
Sunderland,Crystal Palace,4,2,0.4,0.4,1.0,1.6,H
Man United,Man City,6,9,1.2,1.4,1.2,0.6,H
Leeds,Fulham,6,11,1.8,1.4,1.4,0.8,H
Chelsea,Brentford,3,13,1.4,2.6,1.8,0.6,H
Liverpool,Burnley,9,3,1.2,0.8,0.8,1.6,D
Wolves,Newcastle,5,10,1.2,2.2,1.2,1.4,D
Aston Villa,Everton,10,5,1.6,1.0,1.4,1.2,A
Brighton,Bournemouth,6,5,1.2,1.8,1.0,2.4,D
Bournemouth,Liverpool,5,7,1.8,1.0,2.4,0.8,H
Man City,Wolves,6,6,0.8,1.2,1.0,0.8,H
Fulham,Brighton,8,6,1.2,1.4,1.0,1.2,H
West Ham,Sunderland,4,6,1.0,0.8,1.8,1.2,H
Burnley,Tottenham,3,5,0.8,1.0,1.6,1.2,D
Brentford,Nott'm Forest,10,4,2.2,0.8,1.0,1.6,A
